,beds,full_baths,sqft,year_built,list_price,price_per_sqft
261,1.0,1.0,657.0,2022.0,1060000.0,1613.0
262,1.0,1.0,784.0,2022.0,1450000.0,1849.0
263,1.0,1.0,800.0,1942.0,649000.0,811.0
266,2.0,2.0,1256.0,1986.0,1920000.0,1529.0
267,1.0,1.0,842.0,2021.0,950000.0,1128.0
268,0.0,1.0,508.0,2022.0,750000.0,1476.0
269,2.0,2.0,1475.0,2022.0,3500000.0,2373.0
270,1.0,1.0,441.0,2022.0,610000.0,1383.0
271,2.0,1.0,825.0,2022.0,1310000.0,1588.0
272,2.0,2.0,1403.0,1949.0,3450000.0,2459.0
274,4.0,4.0,3114.0,2020.0,7995000.0,2567.0
275,2.0,2.0,1116.0,2022.0,2150000.0,1927.0
276,3.0,2.0,1376.0,2022.0,2375000.0,1726.0
278,3.0,3.0,2261.0,1930.0,6395000.0,2828.0
279,1.0,1.0,597.0,1987.0,835000.0,1399.0
281,2.0,2.0,1475.0,2022.0,2850000.0,1932.0
282,1.0,2.0,1117.0,1960.0,1950000.0,1746.0
283,1.0,1.0,693.0,1929.0,1590000.0,2294.0
284,5.0,5.0,3400.0,2006.0,5950000.0,1750.0
285,1.0,1.0,815.0,2022.0,1455000.0,1785.0
286,2.0,2.0,1056.0,2022.0,1995000.0,1889.0
287,1.0,1.0,609.0,2022.0,1290000.0,2118.0
288,1.0,2.0,1106.0,2022.0,1775000.0,1605.0
289,3.0,3.0,1757.0,2022.0,5250000.0,2988.0
290,2.0,2.0,1056.0,2022.0,2250000.0,2131.0
291,2.0,2.0,1152.0,2022.0,2555000.0,2218.0
292,2.0,2.0,938.0,2022.0,2100000.0,2239.0
301,3.0,1.0,2362.0,1993.0,889000.0,376.0
303,5.0,3.0,4959.0,1920.0,5600000.0,1129.0
305,6.0,5.0,3780.0,2023.0,999000.0,264.0
307,7.0,5.0,3300.0,2003.0,1150000.0,348.0
308,4.0,2.0,2533.0,1910.0,1250000.0,493.0
309,4.0,2.0,1500.0,1952.0,1190000.0,793.0
311,6.0,2.0,1984.0,1994.0,999999.0,504.0
313,4.0,2.0,2533.0,1910.0,1250000.0,493.0
314,1.0,1.0,522.0,2023.0,678000.0,1299.0
315,3.0,1.0,1130.0,1922.0,185000.0,164.0
316,3.0,1.0,1067.0,1994.0,330000.0,309.0
319,2.0,1.0,714.0,2023.0,659000.0,923.0
320,3.0,1.0,1399.0,1988.0,425000.0,304.0
321,3.0,2.0,1484.0,1910.0,689000.0,464.0
323,1.0,1.0,695.0,2005.0,458888.0,660.0
325,2.0,4.0,4480.0,1998.0,2749000.0,614.0
327,0.0,1.0,500.0,1956.0,518000.0,1036.0
328,2.0,1.0,979.0,1945.0,639500.0,653.0
329,3.0,3.0,1155.0,1930.0,1098000.0,951.0
331,1.0,1.0,800.0,1950.0,209000.0,261.0
332,1.0,1.0,660.0,1952.0,319999.0,485.0
334,1.0,1.0,985.0,2008.0,700000.0,711.0
336,2.0,1.0,1000.0,1957.0,380000.0,380.0
338,6.0,3.0,2600.0,1960.0,1149000.0,442.0
339,4.0,3.0,1980.0,1925.0,1298000.0,656.0
341,3.0,1.0,960.0,1989.0,638000.0,665.0
343,2.0,2.0,1000.0,1987.0,1950000.0,1950.0
345,3.0,2.0,2550.0,1975.0,899900.0,353.0
349,2.0,2.0,1575.0,1950.0,999000.0,634.0
351,1.0,2.0,1100.0,1973.0,2300000.0,2091.0
352,3.0,2.0,1224.0,1930.0,800000.0,654.0
353,15.0,3.0,4015.0,1910.0,1199900.0,299.0
355,1.0,1.0,621.0,1952.0,950000.0,1530.0
356,3.0,3.0,1934.0,1952.0,3395000.0,1755.0
358,4.0,2.0,1300.0,1952.0,875000.0,673.0
359,5.0,3.0,2136.0,1899.0,1650000.0,772.0
363,3.0,2.0,1480.0,1961.0,669000.0,452.0
364,6.0,3.0,2018.0,1920.0,1099000.0,545.0
368,0.0,1.0,713.0,1964.0,245000.0,344.0
370,2.0,2.0,779.0,2012.0,868000.0,1114.0
371,4.0,3.0,2182.0,1920.0,999999.0,458.0
