,style,street,city,zip_code,beds,full_baths,sqft,year_built,days_on_mls,list_price,price_per_sqft,year,month,day
3755,MULTI_FAMILY,243-24  147 Ave,Rosedale,11422,4.0,3.0,,1955.0,58,875000.0,,2023,11,9
3756,CONDOS,3800  Blackstone Ave,Bronx,10463,2.0,2.0,,1952.0,58,699000.0,,2023,11,9
3757,COOP,167  Sands St,Brooklyn,11201,2.0,1.0,700.0,1952.0,58,439000.0,627.0,2023,11,9
3758,COOP,167  Sands St,Brooklyn,11201,2.0,1.0,700.0,1952.0,58,439000.0,627.0,2023,11,9
3759,COOP,136  Waverly Pl,Manhattan,10014,3.0,2.0,,1929.0,58,6650000.0,,2023,11,9
3760,COOP,11  Riverside Dr,Manhattan,10023,2.0,2.0,1080.0,1950.0,58,1599000.0,1481.0,2023,11,9
3761,SINGLE_FAMILY,32-16  61st St,Woodside,11377,3.0,2.0,,1910.0,58,930000.0,,2023,11,9
3762,COOP,590  Parksided Ave,Brooklyn,11226,1.0,1.0,,1931.0,58,275000.0,,2023,11,9
3763,SINGLE_FAMILY,915  Rockaway Ave,Brooklyn,11212,3.0,1.0,,1987.0,58,549000.0,,2023,11,9
3764,SINGLE_FAMILY,69-08  Myrtle Ave,Glendale,11385,2.0,1.0,2100.0,1910.0,58,925000.0,440.0,2023,11,9
3765,SINGLE_FAMILY,1457 E 23rd St,Brooklyn,11210,3.0,1.0,1216.0,1935.0,51,865000.0,711.0,2023,11,16
3766,SINGLE_FAMILY,2421  82nd St,Brooklyn,11214,3.0,1.0,1538.0,1920.0,51,1288000.0,837.0,2023,11,16
3767,APARTMENT,995  Fifth Ave,New York,10028,2.0,2.0,,1925.0,51,6500000.0,,2023,11,16
3768,MULTI_FAMILY,138-09  Booth Memorial Ave,Flushing,11355,6.0,2.0,2232.0,1940.0,51,1880000.0,842.0,2023,11,16
3769,SINGLE_FAMILY,231  Ovington Ave,Brooklyn,11209,4.0,1.0,2200.0,1899.0,51,1325000.0,602.0,2023,11,16
3770,LAND,85A  Utica Ave,Crown Heights,11213,2.0,2.0,,1952.0,51,399000.0,,2023,11,16
3771,COOP,50  Lexington Ave,Manhattan,10010,1.0,1.0,750.0,1988.0,51,975000.0,1300.0,2023,11,16
3772,MULTI_FAMILY,1938  Bay Ridge Ave,Brooklyn,11204,8.0,3.0,3375.0,1915.0,51,1739888.0,516.0,2023,11,16
3773,CONDOS,148-09  Northern Blvd,Queens,11354,4.0,2.0,1605.0,1924.0,51,1249000.0,778.0,2023,11,16
3774,LAND,105-48  Van Siclen St,Jamaica,11419,2.0,2.0,,1952.0,51,499000.0,,2023,11,16
3775,SINGLE_FAMILY,93  St Stephens Pl,Staten Island,10306,3.0,2.0,2868.0,1965.0,51,874999.0,305.0,2023,11,16
3776,SINGLE_FAMILY,2759  Whitman Dr,Brooklyn,11234,5.0,3.0,4786.0,2008.0,51,3279000.0,685.0,2023,11,16
3777,SINGLE_FAMILY,2601  Avenue P,Brooklyn,11229,5.0,3.0,4959.0,1952.0,51,5600000.0,1129.0,2023,11,16
3778,SINGLE_FAMILY,629  Rogers Ave,Brooklyn,11225,0.0,2.0,,1952.0,51,575000.0,,2023,11,16
3779,MULTI_FAMILY,8  Revere Pl,Brooklyn,11213,4.0,3.0,2630.0,1897.0,51,2199000.0,836.0,2023,11,16
3780,SINGLE_FAMILY,112-20  210th St,Queens Village,11429,5.0,3.0,,1935.0,51,799000.0,,2023,11,16
3781,COOP,185  Prospect Park,Brooklyn,11218,2.0,2.0,1100.0,1952.0,51,1200000.0,1091.0,2023,11,16
3782,COOP,2025  Broadway,Manhattan,10023,1.0,1.0,,1977.0,51,725000.0,,2023,11,16
3783,SINGLE_FAMILY,64  Long Pond Ln,Staten Island,10304,3.0,1.0,1404.0,1992.0,51,536000.0,382.0,2023,11,16
3784,COOP,110  Central Park,New York,10019,3.0,3.0,2391.0,1927.0,51,5850000.0,2447.0,2023,11,16
3785,COOP,2815  Ocean Pkwy,Brooklyn,11235,1.0,1.0,900.0,1952.0,51,285000.0,317.0,2023,11,16
3786,COOP,2190  Boston Rd,Bronx,10462,2.0,2.0,1100.0,1941.0,51,218000.0,198.0,2023,11,16
3787,COOP,70  LA Salle St,Manhattan,10027,2.0,1.0,,1957.0,51,669000.0,,2023,11,16
3788,CONDOS,66  9th Ave,Manhattan,10011,2.0,2.0,1942.0,1905.0,51,3995000.0,2057.0,2023,11,16
3789,CONDOS,40 W 116th St,Manhattan,10026,3.0,2.0,1386.0,2006.0,51,1350000.0,974.0,2023,11,16
