,bath,sqft,price,price_per_sqft,bedroom,year
2590,1.0986122886681098,7.01301578963963,13.457407451830088,6.447305862541213,1.0986122886681098,0.5422222222222223
2591,1.0986122886681098,7.195187320178709,13.740788089353964,6.548219102762372,1.3862943611198906,0.7111111111111111
2594,1.3862943611198906,7.601402334583733,13.591117476312084,5.993961427306569,1.6094379124341003,0.6888888888888889
2598,0.6931471805599453,8.303504798872783,14.187074804051692,5.886104031450156,1.3862943611198906,0.4888888888888889
2600,1.0986122886681098,7.901377353792616,14.187074804051692,6.2878585601617845,1.6094379124341003,0.9911111111111112
2601,1.3862943611198906,7.975564658495202,14.316286451937186,6.342121418721152,1.791759469228055,0.5333333333333333
2602,1.0986122886681098,7.1929342212158,14.282384921160133,7.0909098220799835,1.3862943611198906,0.9333333333333333
2603,1.0986122886681098,7.901377353792616,14.187074804051692,6.2878585601617845,1.6094379124341003,0.9911111111111112
2604,0.6931471805599453,6.957497370876951,13.345508528717259,6.39024066706535,1.0986122886681098,0.72
2607,0.6931471805599453,6.55250788703459,12.779875885354993,6.230481447578482,0.6931471805599453,0.6666666666666666
2608,1.0986122886681098,7.438971592395862,13.752571823152559,6.315358001522335,1.3862943611198906,0.6
2609,1.0986122886681098,7.170888478512505,14.018452218287162,6.849066282633458,1.3862943611198906,0.96
2610,0.6931471805599453,5.993961427306569,12.128116509451258,6.139884552226255,0.0,0.6888888888888889
2613,1.0986122886681098,7.690286020676768,13.987782620655215,6.298949246855942,1.9459101490553132,0.5111111111111111
2615,1.6094379124341003,8.029107054619736,13.795308871054397,5.768320995793772,1.6094379124341003,0.9377777777777778
2616,2.5649493574615367,7.83241092718792,14.731401609977073,6.900730664045173,2.9444389791664403,0.56
2618,1.0986122886681098,7.00397413672268,13.81451105863119,6.812345094177479,1.0986122886681098,0.7955555555555556
2619,1.0986122886681098,7.154615356913663,14.897316067298997,7.7437032581737535,1.0986122886681098,0.9022222222222223
2621,0.6931471805599453,7.75833346749091,13.591117476312084,5.834810737062605,1.3862943611198906,0.7555555555555555
2622,0.6931471805599453,6.311734809152915,12.983103608918753,6.674561391814426,0.6931471805599453,0.3688888888888889
2623,1.3862943611198906,7.754481547470383,14.131051687938788,6.3784261836515865,1.9459101490553132,0.44
2625,1.0986122886681098,8.03947991910045,14.345550989235415,6.3080984415095305,1.9459101490553132,0.9688888888888889
2626,0.6931471805599453,6.415096959171596,13.41204494952365,6.999422467507961,0.6931471805599453,0.9377777777777778
2627,1.0986122886681098,7.783640596221253,13.800397935382136,6.018593214496234,1.6094379124341003,0.6444444444444445
2628,0.6931471805599453,7.372118028337787,13.910821646859095,6.541029999189903,1.791759469228055,0.4888888888888889
2629,0.6931471805599453,6.4692503167957724,13.560619598657233,7.093404625868766,0.6931471805599453,0.8977777777777778
2630,0.6931471805599453,6.61338421837956,14.403297778421795,7.791522819150732,0.6931471805599453,0.9644444444444444
2633,0.6931471805599453,7.337587743538596,14.217637433703022,6.881411303642535,1.3862943611198906,0.5333333333333333
2635,1.0986122886681098,7.757051142032013,13.541075028051122,5.786897381366708,1.0986122886681098,0.8266666666666667
2636,0.6931471805599453,7.30854279753919,13.762110836088922,6.455198563340122,1.6094379124341003,0.5777777777777777
2637,1.0986122886681098,7.170888478512505,14.018452218287162,6.849066282633458,1.3862943611198906,0.96
2638,1.0986122886681098,7.824445930877619,13.76421831620775,5.942799375126701,0.0,0.6888888888888889
2639,1.3862943611198906,7.652545692693921,14.626441218624949,6.975413927455952,1.791759469228055,0.4488888888888889
2640,1.0986122886681098,7.057036981697891,14.583301745557,7.527793987721444,1.0986122886681098,0.9911111111111112
2641,1.3862943611198906,7.465655310134056,14.187074804051692,6.7226297948554485,1.6094379124341003,0.6
2642,1.3862943611198906,7.5678626054638825,15.0378146135257,7.470793774195062,1.3862943611198906,0.9911111111111112
2643,1.3862943611198906,7.367077059881012,14.862829903121964,7.497207223203318,1.3862943611198906,0.9911111111111112
2644,1.0986122886681098,7.244941546337007,14.639686439527019,7.396335293800808,1.0986122886681098,0.9911111111111112
2645,0.6931471805599453,7.195187320178709,13.52649559761195,6.333279628139691,1.3862943611198906,0.6888888888888889
2646,1.0986122886681098,7.757051142032013,13.4856180275228,5.733341276897746,1.0986122886681098,0.8266666666666667
2647,0.6931471805599453,6.476972362889683,14.026582337760486,7.55171221535131,0.6931471805599453,0.9911111111111112
2648,1.0986122886681098,6.816735880594968,14.337276715240233,7.522400231387125,1.0986122886681098,0.9911111111111112
2649,1.3862943611198906,8.160803920954665,14.037764914061567,5.8805329864007,1.6094379124341003,0.6888888888888889
2651,1.3862943611198906,7.685703061234547,15.274125813221904,7.589335823170617,1.3862943611198906,0.96
2652,1.3862943611198906,7.947678571301568,14.269766465162304,6.324358962381311,1.791759469228055,0.44
2653,1.0986122886681098,7.732369222284388,13.591117476312084,5.860786223465865,0.0,0.8488888888888889
2654,1.3862943611198906,8.239329427901795,13.81451105863119,5.579729825986222,2.1972245773362196,0.4533333333333333
2655,1.0986122886681098,8.24301946898925,14.216298746313468,5.976350909297934,1.0986122886681098,0.6755555555555556
2658,0.6931471805599453,6.411818267709897,12.608202196848836,6.20050917404269,0.6931471805599453,0.5333333333333333
2661,1.0986122886681098,7.8961806086154915,13.6967281480998,5.805134968916488,1.6094379124341003,0.6
2665,0.6931471805599453,7.20414929203594,13.261953131042814,6.061456918928017,1.3862943611198906,0.5555555555555556
2666,1.3862943611198906,8.071218539969863,14.841552512220423,6.771935555839602,1.9459101490553132,0.5777777777777777
2667,1.3862943611198906,8.404919948933452,14.22030944419592,5.817111159963204,1.9459101490553132,0.5777777777777777
2668,0.6931471805599453,6.710523109452428,13.079457964073546,6.371611847231857,0.6931471805599453,0.6177777777777778
2669,1.0986122886681098,6.90875477931522,14.316286451937186,7.409136443920128,0.6931471805599453,0.5333333333333333
2670,1.0986122886681098,8.078998258685154,13.901689171636098,5.82600010738045,1.6094379124341003,0.9155555555555556
2671,1.791759469228055,7.839525581704678,14.026582337760486,6.1903154058531475,2.1972245773362196,0.8311111111111111
2672,1.0986122886681098,7.130098510125578,13.455975814408239,6.327936783729195,1.3862943611198906,0.5333333333333333
2673,1.0986122886681098,7.496097345175956,13.910821646859095,6.416732282512326,1.6094379124341003,0.6444444444444445
2674,1.3862943611198906,7.732369222284388,13.76421831620775,6.035481432524756,1.791759469228055,0.6
2675,0.6931471805599453,7.273092595999522,13.159661088928443,5.8888779583328805,1.3862943611198906,0.8133333333333334
2676,0.6931471805599453,7.450660796211539,13.900771320188321,6.452048954437226,1.6094379124341003,0.5555555555555556
2678,0.6931471805599453,6.943122422819428,13.217673557208654,6.2766434893416445,1.3862943611198906,0.8
2679,0.6931471805599453,6.55250788703459,13.064736383209516,6.51471269087253,0.6931471805599453,0.8444444444444444
2681,0.6931471805599453,7.2115567333138015,12.847665971443902,5.641907070938114,1.0986122886681098,0.8711111111111111
2683,1.3862943611198906,7.545918151209323,13.76421831620775,6.220590170099739,1.791759469228055,0.6
2684,1.0986122886681098,7.3783837129967145,13.351888125506433,5.976350909297934,1.0986122886681098,0.7777777777777778
2685,2.833213344056216,9.575052927597383,15.062543139106937,5.493061443340548,1.0986122886681098,0.5688888888888889
2689,0.6931471805599453,6.45833828334479,12.384223015005313,5.929589143389895,0.0,0.7777777777777778
2690,1.3862943611198906,9.257510176452573,16.118095750958314,6.86171134048073,0.6931471805599453,0.6755555555555556
2691,1.3862943611198906,7.484930283289661,13.251637470576167,5.771441123130016,1.3862943611198906,0.6755555555555556
2692,1.0986122886681098,7.942717540573791,14.213481655991844,6.272877006546167,1.9459101490553132,0.9955555555555555
2694,0.6931471805599453,7.261927092702751,13.591117476312084,6.331501849893691,1.6094379124341003,0.5555555555555556
2697,1.3862943611198906,7.350516171833998,13.707926460869462,6.359573868672378,1.791759469228055,0.5555555555555556
2698,1.0986122886681098,7.195937226475569,13.617060838751888,6.423246963533519,1.0986122886681098,0.9244444444444444
2699,1.6094379124341003,7.6251071482389,13.981025843899115,6.3578422665081,1.6094379124341003,0.9733333333333334
2702,1.0986122886681098,8.232971790593437,14.25370161588785,6.023447592961033,1.6094379124341003,0.9955555555555555
2709,1.0986122886681098,7.00397413672268,12.969214528909768,5.968707559985366,1.0986122886681098,0.5866666666666667
2710,0.6931471805599453,6.311734809152915,13.217675375388819,6.90875477931522,0.0,0.7244444444444444
2711,0.6931471805599453,6.22455842927536,13.279368835614243,7.057897937411856,0.0,0.6266666666666667
2712,0.6931471805599453,6.621405651764134,11.982935344196433,5.365976015021851,0.6931471805599453,0.6266666666666667
2715,1.3862943611198906,8.158229916959494,14.038654109278484,5.883322388488279,1.9459101490553132,0.5333333333333333
2718,1.0986122886681098,7.156176637480615,14.496079462646344,7.341483852363161,0.6931471805599453,0.4088888888888889
2719,1.0986122886681098,7.195937226475569,13.617060838751888,6.423246963533519,1.0986122886681098,0.9244444444444444
2723,0.6931471805599453,6.90875477931522,13.190023895035274,6.284134161070802,1.0986122886681098,0.6711111111111111
2726,1.3862943611198906,7.368339686311381,12.807655372286902,5.442417710521793,1.6094379124341003,0.4488888888888889
2729,0.6931471805599453,6.642486801367256,13.910821646859095,7.270312886079025,0.6931471805599453,0.8222222222222222
2730,0.6931471805599453,6.577861357721047,12.84499856517857,6.270988431858299,0.6931471805599453,0.7733333333333333
2733,1.3862943611198906,8.055475141757274,13.527828485512494,5.476463551931511,1.9459101490553132,0.44
2734,1.0986122886681098,7.00397413672268,12.604852121186608,5.605802066295998,1.3862943611198906,0.7333333333333333
2735,0.6931471805599453,6.484635235635252,13.527829818844937,7.045776576879511,0.6931471805599453,0.9288888888888889
2737,1.3862943611198906,7.783640596221253,13.623139877437296,5.84354441703136,1.9459101490553132,0.9511111111111111
2738,1.0986122886681098,7.117205503164344,13.513054553109397,6.398594934535208,1.3862943611198906,0.8711111111111111
2740,0.6931471805599453,7.273092595999522,13.014780393893403,5.746203190540153,1.0986122886681098,0.8088888888888889
2741,1.3862943611198906,8.014996894348302,14.297937324492327,6.285998094508865,1.9459101490553132,0.7555555555555555
2742,1.791759469228055,7.650168700845001,13.997832114758229,6.349138991379798,2.0794415416798357,0.9911111111111112
2743,1.3862943611198906,7.758760544157663,15.007917029408835,7.25063551189868,1.3862943611198906,0.44
2745,1.0986122886681098,7.422373700986824,13.180634172318978,5.762051382780177,1.0986122886681098,0.5555555555555556
2746,0.6931471805599453,6.7464121285733745,11.502885230075814,4.762173934797756,0.6931471805599453,0.5733333333333334
2747,0.6931471805599453,6.756932389247553,11.502885230075814,4.7535901911063645,0.6931471805599453,0.5733333333333334
2749,1.3862943611198906,7.896924656268864,13.997832948091215,6.102558594613569,2.0794415416798357,0.7333333333333333
2750,1.3862943611198906,8.035602692918582,14.006131744018864,5.973809611869261,2.0794415416798357,0.7555555555555555
2751,1.3862943611198906,7.896924656268864,14.001990954782066,6.1070228877422545,2.0794415416798357,0.7555555555555555
2754,0.6931471805599453,6.85751406254539,12.384223015005313,5.53338948872752,1.0986122886681098,0.6933333333333334
2755,0.6931471805599453,6.621405651764134,12.535379989788607,5.918893854273146,0.6931471805599453,0.6755555555555556
